locus_tag	ftype	length_bp	gene	EC_number	COG	product
CDNALJOL_00068	CDS	183				hypothetical protein
CDNALJOL_00069	gene	399				
CDNALJOL_00069	CDS	399				hypothetical protein
CDNALJOL_00070	gene	2037				
CDNALJOL_00070	CDS	2037				hypothetical protein
CDNALJOL_00071	gene	732				
CDNALJOL_00071	CDS	732				hypothetical protein
CDNALJOL_00072	gene	1062	trpS			
CDNALJOL_00072	CDS	1062	trpS	6.1.1.2	COG0180	Tryptophan--tRNA ligase
CDNALJOL_00073	gene	891	accA			
CDNALJOL_00073	CDS	891	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
CDNALJOL_00074	gene	3606	dnaE			
CDNALJOL_00074	CDS	3606	dnaE	2.7.7.7	COG0587	DNA polymerase III subunit alpha
CDNALJOL_00075	gene	1950	pcrA_1			
CDNALJOL_00075	CDS	1950	pcrA_1	3.6.4.12	COG0210	ATP-dependent DNA helicase PcrA
CDNALJOL_00076	gene	717				
CDNALJOL_00076	CDS	717				hypothetical protein
CDNALJOL_00077	gene	150				
CDNALJOL_00077	CDS	150				hypothetical protein
CDNALJOL_00078	gene	2145	mcpA			
CDNALJOL_00078	CDS	2145	mcpA		COG0840	Methyl-accepting chemotaxis protein McpA
CDNALJOL_00079	gene	1555				
CDNALJOL_00079	rRNA	1555				16S ribosomal RNA
CDNALJOL_00080	gene	77				
CDNALJOL_00080	tRNA	77				tRNA-Ile(gat)
CDNALJOL_00081	gene	76				
CDNALJOL_00081	tRNA	76				tRNA-Ala(tgc)
CDNALJOL_00082	gene	2974				
CDNALJOL_00082	rRNA	2974				23S ribosomal RNA
CDNALJOL_00083	gene	110				
CDNALJOL_00083	rRNA	110				5S ribosomal RNA
CDNALJOL_00084	gene	3147				
CDNALJOL_00084	CDS	3147		1.18.1.2		Ferredoxin--NADP reductase
CDNALJOL_00085	gene	444	nth			
CDNALJOL_00085	CDS	444	nth	4.2.99.18	COG0177	Endonuclease III
CDNALJOL_00086	gene	411	dksA_1			
CDNALJOL_00086	CDS	411	dksA_1			RNA polymerase-binding transcription factor DksA
CDNALJOL_00087	gene	819	lgt			
CDNALJOL_00087	CDS	819	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
CDNALJOL_00088	gene	1455				
CDNALJOL_00088	CDS	1455				hypothetical protein
CDNALJOL_00089	gene	426	cymR			
CDNALJOL_00089	CDS	426	cymR			HTH-type transcriptional regulator CymR
CDNALJOL_00090	gene	423				
CDNALJOL_00090	CDS	423				hypothetical protein
CDNALJOL_00091	gene	273				
CDNALJOL_00091	CDS	273			COG4095	Sugar transporter SemiSWEET
CDNALJOL_00092	gene	1143				
CDNALJOL_00092	CDS	1143				hypothetical protein
CDNALJOL_00093	gene	2559				
CDNALJOL_00093	CDS	2559				hypothetical protein
CDNALJOL_00094	gene	726				
CDNALJOL_00094	CDS	726			COG1136	putative ABC transporter ATP-binding protein
CDNALJOL_00095	gene	879	Hgd			
CDNALJOL_00095	CDS	879	Hgd	1.1.1.291		2-(hydroxymethyl)glutarate dehydrogenase
CDNALJOL_00096	gene	264				
CDNALJOL_00096	CDS	264				hypothetical protein
CDNALJOL_00097	gene	240				
CDNALJOL_00097	CDS	240				hypothetical protein
CDNALJOL_00098	gene	2553				
CDNALJOL_00098	CDS	2553				hypothetical protein
CDNALJOL_00099	gene	615				
CDNALJOL_00099	CDS	615				hypothetical protein
CDNALJOL_00100	gene	1233				
CDNALJOL_00100	CDS	1233				hypothetical protein
CDNALJOL_00101	gene	690				
CDNALJOL_00101	CDS	690				hypothetical protein
CDNALJOL_00102	gene	1158				
CDNALJOL_00102	CDS	1158				hypothetical protein
CDNALJOL_00103	gene	339				
CDNALJOL_00103	CDS	339				hypothetical protein
CDNALJOL_00104	gene	417				
CDNALJOL_00104	CDS	417				hypothetical protein
CDNALJOL_00105	gene	849	ravA			
CDNALJOL_00105	CDS	849	ravA	3.6.3.-	COG0714	ATPase RavA
CDNALJOL_00106	gene	456				
CDNALJOL_00106	CDS	456				hypothetical protein
CDNALJOL_00107	gene	336				
CDNALJOL_00107	CDS	336				hypothetical protein
CDNALJOL_00108	gene	933	hemW			
CDNALJOL_00108	CDS	933	hemW		COG0635	Heme chaperone HemW
CDNALJOL_00109	gene	945	xerD_1			
CDNALJOL_00109	CDS	945	xerD_1		COG4974	Tyrosine recombinase XerD
CDNALJOL_00110	gene	1164				
CDNALJOL_00110	CDS	1164				hypothetical protein
CDNALJOL_00111	gene	1368				
CDNALJOL_00111	CDS	1368				hypothetical protein
CDNALJOL_00112	gene	780				
CDNALJOL_00112	CDS	780				hypothetical protein
CDNALJOL_00113	gene	948	sir			
CDNALJOL_00113	CDS	948	sir	1.8.7.1	COG0155	Sulfite reductase [ferredoxin]
CDNALJOL_00114	gene	192				
CDNALJOL_00114	CDS	192				hypothetical protein
CDNALJOL_00115	gene	849				
CDNALJOL_00115	CDS	849				hypothetical protein
CDNALJOL_00116	gene	1482	glgA			
CDNALJOL_00116	CDS	1482	glgA	2.4.1.21	COG0297	Glycogen synthase
CDNALJOL_00117	gene	504				
CDNALJOL_00117	CDS	504				hypothetical protein
CDNALJOL_00118	gene	138				
CDNALJOL_00118	CDS	138				hypothetical protein
CDNALJOL_00119	gene	714	crp			
CDNALJOL_00119	CDS	714	crp		COG0664	CRP-like cAMP-activated global transcriptional regulator
CDNALJOL_00120	gene	1422				
CDNALJOL_00120	CDS	1422				hypothetical protein
CDNALJOL_00121	gene	294	cpoB_1			
CDNALJOL_00121	CDS	294	cpoB_1			Cell division coordinator CpoB
CDNALJOL_00122	gene	504				
CDNALJOL_00122	CDS	504				hypothetical protein
CDNALJOL_00123	gene	261				
CDNALJOL_00123	CDS	261				hypothetical protein
CDNALJOL_00124	gene	1362	hndC			
CDNALJOL_00124	CDS	1362	hndC	1.12.1.3	COG1145	NADP-reducing hydrogenase subunit HndC
CDNALJOL_00125	gene	528	purE			
CDNALJOL_00125	CDS	528	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
CDNALJOL_00126	gene	1149	purK			
CDNALJOL_00126	CDS	1149	purK	6.3.4.18	COG0026	N5-carboxyaminoimidazole ribonucleotide synthase
CDNALJOL_00127	gene	771				
CDNALJOL_00127	CDS	771				hypothetical protein
CDNALJOL_00128	gene	879				
CDNALJOL_00128	CDS	879				hypothetical protein
CDNALJOL_00129	gene	1365				
CDNALJOL_00129	CDS	1365				hypothetical protein
CDNALJOL_00130	gene	1452				
CDNALJOL_00130	CDS	1452				hypothetical protein
CDNALJOL_00131	gene	1239				
CDNALJOL_00131	CDS	1239				hypothetical protein
CDNALJOL_00132	gene	894	nanM			
CDNALJOL_00132	CDS	894	nanM	5.1.3.24		N-acetylneuraminate epimerase
CDNALJOL_00133	gene	399				
CDNALJOL_00133	CDS	399				hypothetical protein
CDNALJOL_00134	gene	642				
CDNALJOL_00134	CDS	642				hypothetical protein
CDNALJOL_00135	gene	177				
CDNALJOL_00135	CDS	177				hypothetical protein
CDNALJOL_00136	gene	942				
CDNALJOL_00136	CDS	942				hypothetical protein
CDNALJOL_00137	gene	915				
CDNALJOL_00137	CDS	915				hypothetical protein
CDNALJOL_00138	gene	774				
CDNALJOL_00138	CDS	774				hypothetical protein
CDNALJOL_00139	gene	786				
CDNALJOL_00139	CDS	786				hypothetical protein
CDNALJOL_00140	gene	702				
CDNALJOL_00140	CDS	702				hypothetical protein
CDNALJOL_00141	gene	276				
CDNALJOL_00141	CDS	276				hypothetical protein
CDNALJOL_00142	gene	207	cspLA			
CDNALJOL_00142	CDS	207	cspLA		COG1278	Cold shock-like protein CspLA
CDNALJOL_00143	gene	603				
CDNALJOL_00143	CDS	603				hypothetical protein
CDNALJOL_00144	gene	384				
CDNALJOL_00144	CDS	384				hypothetical protein
CDNALJOL_00145	gene	708				
CDNALJOL_00145	CDS	708				hypothetical protein
CDNALJOL_00146	gene	1392	dnaB			
CDNALJOL_00146	CDS	1392	dnaB	3.6.4.12	COG0305	Replicative DNA helicase
CDNALJOL_00147	gene	363				
CDNALJOL_00147	CDS	363				hypothetical protein
CDNALJOL_00148	gene	1008	hisZ			
CDNALJOL_00148	CDS	1008	hisZ		COG3705	ATP phosphoribosyltransferase regulatory subunit
CDNALJOL_00149	gene	1608	serA			
CDNALJOL_00149	CDS	1608	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
CDNALJOL_00150	gene	1146				
CDNALJOL_00150	CDS	1146		2.6.1.51	COG0075	Serine-pyruvate aminotransferase
CDNALJOL_00151	gene	1425	oppA			
CDNALJOL_00151	CDS	1425	oppA		COG4166	Periplasmic oligopeptide-binding protein
CDNALJOL_00152	gene	110				
CDNALJOL_00152	rRNA	110				5S ribosomal RNA
CDNALJOL_00153	gene	2977				
CDNALJOL_00153	rRNA	2977				23S ribosomal RNA
CDNALJOL_00154	gene	76				
CDNALJOL_00154	tRNA	76				tRNA-Ala(tgc)
CDNALJOL_00155	gene	77				
CDNALJOL_00155	tRNA	77				tRNA-Ile(gat)
CDNALJOL_00156	gene	1556				
CDNALJOL_00156	rRNA	1556				16S ribosomal RNA
CDNALJOL_00157	gene	192				
CDNALJOL_00157	CDS	192				hypothetical protein
CDNALJOL_00158	gene	426				
CDNALJOL_00158	CDS	426				hypothetical protein
CDNALJOL_00159	gene	3084	czcA_1			
CDNALJOL_00159	CDS	3084	czcA_1			Cobalt-zinc-cadmium resistance protein CzcA
CDNALJOL_00160	gene	1125	czcB_1			
CDNALJOL_00160	CDS	1125	czcB_1			Cobalt-zinc-cadmium resistance protein CzcB
CDNALJOL_00161	gene	1212	tyrS			
CDNALJOL_00161	CDS	1212	tyrS	6.1.1.1	COG0162	Tyrosine--tRNA ligase
CDNALJOL_00162	gene	1194				
CDNALJOL_00162	CDS	1194				hypothetical protein
CDNALJOL_00163	gene	417	ndk			
CDNALJOL_00163	CDS	417	ndk	2.7.4.6		Nucleoside diphosphate kinase
CDNALJOL_00164	gene	1050				
CDNALJOL_00164	CDS	1050				hypothetical protein
CDNALJOL_00165	gene	927				
CDNALJOL_00165	CDS	927		5.1.3.2	COG1088	UDP-glucose 4-epimerase
CDNALJOL_00166	gene	720	sfsA			
CDNALJOL_00166	CDS	720	sfsA		COG1489	Sugar fermentation stimulation protein A
CDNALJOL_00167	gene	1332	rkpK			
CDNALJOL_00167	CDS	1332	rkpK	1.1.1.22	COG1004	UDP-glucose 6-dehydrogenase
CDNALJOL_00168	gene	1128	thiO			
CDNALJOL_00168	CDS	1128	thiO	1.4.3.19	COG0665	Glycine oxidase
CDNALJOL_00169	gene	645				
CDNALJOL_00169	CDS	645				hypothetical protein
CDNALJOL_00170	gene	534				
CDNALJOL_00170	CDS	534				hypothetical protein
CDNALJOL_00171	gene	531				
CDNALJOL_00171	CDS	531				hypothetical protein
CDNALJOL_00172	gene	759				
CDNALJOL_00172	CDS	759			COG0217	putative transcriptional regulatory protein
CDNALJOL_00173	gene	1098	pheA			
CDNALJOL_00173	CDS	1098	pheA			Bifunctional chorismate mutase/prephenate dehydratase
CDNALJOL_00174	gene	621	aroF_1			
CDNALJOL_00174	CDS	621	aroF_1	2.5.1.54	COG2876	Phospho-2-dehydro-3-deoxyheptonate aldolase
CDNALJOL_00175	gene	459	aroF_2			
CDNALJOL_00175	CDS	459	aroF_2	2.5.1.54	COG2876	Phospho-2-dehydro-3-deoxyheptonate aldolase
CDNALJOL_00176	gene	909	tyrC			
CDNALJOL_00176	CDS	909	tyrC	1.3.1.43		Cyclohexadienyl dehydrogenase
CDNALJOL_00177	gene	1365	aroA1			
CDNALJOL_00177	CDS	1365	aroA1	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase 1
CDNALJOL_00178	gene	666	cmk			
CDNALJOL_00178	CDS	666	cmk	2.7.4.25		Cytidylate kinase
CDNALJOL_00179	gene	699	plsC			
CDNALJOL_00179	CDS	699	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
CDNALJOL_00180	gene	984				
CDNALJOL_00180	CDS	984				hypothetical protein
CDNALJOL_00181	gene	825				
CDNALJOL_00181	CDS	825				hypothetical protein
CDNALJOL_00182	gene	621				
CDNALJOL_00182	CDS	621		6.3.3.2	COG0212	5-formyltetrahydrofolate cyclo-ligase
CDNALJOL_00183	gene	576	folE			
CDNALJOL_00183	CDS	576	folE	3.5.4.16	COG0302	GTP cyclohydrolase 1
CDNALJOL_00184	gene	885	folD			
CDNALJOL_00184	CDS	885	folD			Bifunctional protein FolD protein
CDNALJOL_00185	gene	870	yitJ			
CDNALJOL_00185	CDS	870	yitJ		COG0646	Bifunctional homocysteine S-methyltransferase/5,10-methylenetetrahydrofolate reductase
CDNALJOL_00186	gene	846	panB			
CDNALJOL_00186	CDS	846	panB	2.1.2.11		3-methyl-2-oxobutanoate hydroxymethyltransferase
CDNALJOL_00187	gene	546	chaC			
CDNALJOL_00187	CDS	546	chaC	4.3.2.7	COG3703	Glutathione-specific gamma-glutamylcyclotransferase
CDNALJOL_00188	gene	813	xthA			
CDNALJOL_00188	CDS	813	xthA	3.1.11.2	COG0708	Exodeoxyribonuclease III
CDNALJOL_00189	gene	861				
CDNALJOL_00189	CDS	861				hypothetical protein
CDNALJOL_00190	gene	1119				
CDNALJOL_00190	CDS	1119				hypothetical protein
CDNALJOL_00191	gene	2067	lutA			
CDNALJOL_00191	CDS	2067	lutA			Lactate utilization protein A
CDNALJOL_00192	gene	774				
CDNALJOL_00192	CDS	774				hypothetical protein
CDNALJOL_00193	gene	999	yhaM			
CDNALJOL_00193	CDS	999	yhaM	3.1.-.-	COG3481	3'-5' exoribonuclease YhaM
CDNALJOL_00194	gene	2706	gltB_1			
CDNALJOL_00194	CDS	2706	gltB_1	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
CDNALJOL_00195	gene	1227	gltB_2			
CDNALJOL_00195	CDS	1227	gltB_2	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
CDNALJOL_00196	gene	675	gltA			
CDNALJOL_00196	CDS	675	gltA	1.4.1.13	COG0067	Glutamate synthase [NADPH] large chain
CDNALJOL_00197	gene	1500	rpoS			
CDNALJOL_00197	CDS	1500	rpoS			RNA polymerase sigma factor RpoS
CDNALJOL_00198	gene	300	yccX			
CDNALJOL_00198	CDS	300	yccX	3.6.1.7		Acylphosphatase
CDNALJOL_00199	gene	77				
CDNALJOL_00199	tRNA	77				tRNA-Pro(cgg)
CDNALJOL_00200	gene	1416	fumC			
CDNALJOL_00200	CDS	1416	fumC	4.2.1.2	COG0114	Fumarate hydratase class II
CDNALJOL_00201	gene	195				
CDNALJOL_00201	CDS	195				hypothetical protein
CDNALJOL_00202	gene	1110	hisC_1			
CDNALJOL_00202	CDS	1110	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
CDNALJOL_00203	gene	1017	cobD			
CDNALJOL_00203	CDS	1017	cobD		COG1270	Cobalamin biosynthesis protein CobD
CDNALJOL_00204	gene	1503	cobQ			
CDNALJOL_00204	CDS	1503	cobQ			Cobyric acid synthase
CDNALJOL_00205	gene	552				
CDNALJOL_00205	CDS	552				hypothetical protein
CDNALJOL_00206	gene	1674	ilvD_1			
CDNALJOL_00206	CDS	1674	ilvD_1	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
CDNALJOL_00207	gene	1434				
CDNALJOL_00207	CDS	1434				hypothetical protein
CDNALJOL_00208	gene	339				
CDNALJOL_00208	CDS	339				hypothetical protein
CDNALJOL_00209	gene	816				
CDNALJOL_00209	CDS	816				hypothetical protein
CDNALJOL_00210	gene	1431	tsrM			
CDNALJOL_00210	CDS	1431	tsrM	2.1.1.106		Tryptophan 2-C-methyltransferase
CDNALJOL_00211	gene	666				
CDNALJOL_00211	CDS	666				hypothetical protein
CDNALJOL_00212	gene	540				
CDNALJOL_00212	CDS	540				hypothetical protein
CDNALJOL_00213	gene	840	cbiF			
CDNALJOL_00213	CDS	840	cbiF	2.1.1.271	COG2875	Cobalt-precorrin-4 C(11)-methyltransferase
CDNALJOL_00214	gene	540				
CDNALJOL_00214	CDS	540				hypothetical protein
CDNALJOL_00215	gene	756	cbiL			
CDNALJOL_00215	CDS	756	cbiL	2.1.1.151	COG2243	Cobalt-precorrin-2 C(20)-methyltransferase
CDNALJOL_00216	gene	204	yacG			
CDNALJOL_00216	CDS	204	yacG			DNA gyrase inhibitor YacG
CDNALJOL_00217	gene	633	ribE			
CDNALJOL_00217	CDS	633	ribE	2.5.1.9	COG0307	Riboflavin synthase
CDNALJOL_00218	gene	1167	ribD			
CDNALJOL_00218	CDS	1167	ribD		COG0117	Riboflavin biosynthesis protein RibD
CDNALJOL_00219	gene	2220	glyS			
CDNALJOL_00219	CDS	2220	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
CDNALJOL_00220	gene	903	glyQ			
CDNALJOL_00220	CDS	903	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
CDNALJOL_00221	gene	1239				
CDNALJOL_00221	CDS	1239				hypothetical protein
CDNALJOL_00222	gene	669	bioB			
CDNALJOL_00222	CDS	669	bioB	2.8.1.6		Biotin synthase
CDNALJOL_00223	gene	900	bioW			
CDNALJOL_00223	CDS	900	bioW	6.2.1.14		6-carboxyhexanoate--CoA ligase
CDNALJOL_00224	gene	498	bioF1			
CDNALJOL_00224	CDS	498	bioF1	2.3.1.47	COG0156	8-amino-7-oxononanoate synthase 1
CDNALJOL_00225	gene	192	bioF_1			
CDNALJOL_00225	CDS	192	bioF_1	2.3.1.47		8-amino-7-oxononanoate synthase
CDNALJOL_00226	gene	387	bioF_2			
CDNALJOL_00226	CDS	387	bioF_2	2.3.1.47	COG0156	8-amino-7-oxononanoate synthase 2
CDNALJOL_00227	gene	411	IMPDH			
CDNALJOL_00227	CDS	411	IMPDH	1.1.1.205		Inosine-5'-monophosphate dehydrogenase
CDNALJOL_00228	gene	1407	ftsI			
CDNALJOL_00228	CDS	1407	ftsI	3.4.16.4		Peptidoglycan D,D-transpeptidase FtsI
CDNALJOL_00229	gene	2178				
CDNALJOL_00229	CDS	2178				hypothetical protein
CDNALJOL_00230	gene	882				
CDNALJOL_00230	CDS	882				hypothetical protein
CDNALJOL_00231	gene	285	remA			
CDNALJOL_00231	CDS	285	remA		COG2052	Extracellular matrix regulatory protein A
CDNALJOL_00232	gene	708	gmk			
CDNALJOL_00232	CDS	708	gmk	2.7.4.8		Guanylate kinase
CDNALJOL_00233	gene	405	rpoZ			
CDNALJOL_00233	CDS	405	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
CDNALJOL_00234	gene	1287	coaBC			
CDNALJOL_00234	CDS	1287	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
CDNALJOL_00235	gene	1395				
CDNALJOL_00235	CDS	1395				hypothetical protein
CDNALJOL_00236	gene	450	aroQ			
CDNALJOL_00236	CDS	450	aroQ	4.2.1.10	COG0757	3-dehydroquinate dehydratase
CDNALJOL_00237	gene	576	efp			
CDNALJOL_00237	CDS	576	efp		COG0231	Elongation factor P
CDNALJOL_00238	gene	474	accB			
CDNALJOL_00238	CDS	474	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
CDNALJOL_00239	gene	1371	accC			
CDNALJOL_00239	CDS	1371	accC	6.3.4.14	COG0439	Biotin carboxylase
CDNALJOL_00240	gene	639	thiE			
CDNALJOL_00240	CDS	639	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
CDNALJOL_00241	gene	2625				
CDNALJOL_00241	CDS	2625				hypothetical protein
CDNALJOL_00242	gene	447	rcp1			
CDNALJOL_00242	CDS	447	rcp1			Response regulator rcp1
CDNALJOL_00243	gene	357	cph1			
CDNALJOL_00243	CDS	357	cph1	2.7.13.3		Phytochrome-like protein cph1
CDNALJOL_00244	gene	270				
CDNALJOL_00244	CDS	270				hypothetical protein
CDNALJOL_00245	gene	966				
CDNALJOL_00245	CDS	966				hypothetical protein
CDNALJOL_00246	gene	180				
CDNALJOL_00246	CDS	180				hypothetical protein
CDNALJOL_00247	gene	324				
CDNALJOL_00247	CDS	324				hypothetical protein
CDNALJOL_00248	gene	846				
CDNALJOL_00248	CDS	846				hypothetical protein
CDNALJOL_00249	gene	855				
CDNALJOL_00249	CDS	855				hypothetical protein
CDNALJOL_00250	gene	207				
CDNALJOL_00250	CDS	207				hypothetical protein
CDNALJOL_00251	gene	333				
CDNALJOL_00251	CDS	333				hypothetical protein
CDNALJOL_00252	gene	714	bioD			
CDNALJOL_00252	CDS	714	bioD	6.3.3.3		ATP-dependent dethiobiotin synthetase BioD
CDNALJOL_00253	gene	522				
CDNALJOL_00253	CDS	522				hypothetical protein
CDNALJOL_00254	gene	1176	fdtB			
